Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
100,Opportunistic Infections ,RxCC5 ,B46.9 ,"Zygomycosis, unspecified "
101,Opportunistic Infections ,RxCC5 ,B48.4 ,Penicillosis 
102,Opportunistic Infections ,RxCC5 ,B48.8 ,Other specified mycoses 
103,Opportunistic Infections ,RxCC5 ,B58.2 ,Toxoplasma meningoencephalitis 
104,Opportunistic Infections ,RxCC5 ,B58.3 ,Pulmonary toxoplasmosis 
105,Opportunistic Infections ,RxCC5 ,B59 ,Pneumocystosis 
106,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A01.04 ,Typhoid arthritis 
107,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A01.05 ,Typhoid osteomyelitis 
108,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A02.23 ,Salmonella arthritis 
109,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A02.24 ,Salmonella osteomyelitis 
110,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A39.83 ,Meningococcal arthritis 
111,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A39.84 ,Postmeningococcal arthritis 
112,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A50.55 ,Late congenital syphilitic arthropathy 
113,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A54.40 ,"Gonococcal infection of musculoskeletal system, unspecified "
114,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A54.41 ,Gonococcal spondylopathy 
115,Bone/Joint/Muscle Infections/Necrosis - Except : RxCC80: Aseptic Necrosis of Bone ,CC39 ,A54.42 ,Gonococcal arthritis 
