Mapping of Comorbidities Included in the PDPM NTA Component to ICD-10-CM Codes,,,,
Overview,,,,
"The following mappings of CCs and RxCCs to ICD-10-CM codes are based on the FY 2026 Initial Risk Adjustment model software (using HCC model v22 for CCs) and the FY 2024 Midyear Risk Adjustment model software (using RxHCC v05 for RxCCs) found at https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment. New codes with values of ""N/A"" in the RxCC/CC column (column D) have been added from the latest FY 2026 ICD-10-CM addenda found at https://www.cms.gov/medicare/coding-billing/icd-10-codes and were assigned to NTA comorbidities that share the same code family (i.e. the first 3 digits) to ensure the established NTA comorbidities are up to date. The FY 2026 ICD-10-CM addenda is also used to add new codes if they belong to the Endocarditis comorbidity and to confirm if any existing codes become unbillable and need to be removed from the existing NTA mappings.",,,,
No data,,,,
Sort Order,Comorbidity Description,RxCC/CC,ICD-10-CM Code,ICD-10-CM Code Description
This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell,This is a filter cell
1140,Aseptic Necrosis of Bone ,RxCC80 ,M87.131 ,Osteonecrosis due to drugs of right radius 
1141,Aseptic Necrosis of Bone ,RxCC80 ,M87.132 ,Osteonecrosis due to drugs of left radius 
1142,Aseptic Necrosis of Bone ,RxCC80 ,M87.133 ,Osteonecrosis due to drugs of unspecified radius 
1143,Aseptic Necrosis of Bone ,RxCC80 ,M87.134 ,Osteonecrosis due to drugs of right ulna 
1144,Aseptic Necrosis of Bone ,RxCC80 ,M87.135 ,Osteonecrosis due to drugs of left ulna 
1145,Aseptic Necrosis of Bone ,RxCC80 ,M87.136 ,Osteonecrosis due to drugs of unspecified ulna 
1146,Aseptic Necrosis of Bone ,RxCC80 ,M87.137 ,Osteonecrosis due to drugs of right carpus 
1147,Aseptic Necrosis of Bone ,RxCC80 ,M87.138 ,Osteonecrosis due to drugs of left carpus 
1148,Aseptic Necrosis of Bone ,RxCC80 ,M87.139 ,Osteonecrosis due to drugs of unspecified carpus 
1149,Aseptic Necrosis of Bone ,RxCC80 ,M87.141 ,"Osteonecrosis due to drugs, right hand "
1150,Aseptic Necrosis of Bone ,RxCC80 ,M87.142 ,"Osteonecrosis due to drugs, left hand "
1151,Aseptic Necrosis of Bone ,RxCC80 ,M87.143 ,"Osteonecrosis due to drugs, unspecified hand "
1152,Aseptic Necrosis of Bone ,RxCC80 ,M87.144 ,"Osteonecrosis due to drugs, right finger(s) "
1153,Aseptic Necrosis of Bone ,RxCC80 ,M87.145 ,"Osteonecrosis due to drugs, left finger(s) "
1154,Aseptic Necrosis of Bone ,RxCC80 ,M87.146 ,"Osteonecrosis due to drugs, unspecified finger(s) "
1155,Aseptic Necrosis of Bone ,RxCC80 ,M87.150 ,"Osteonecrosis due to drugs, pelvis "
1156,Aseptic Necrosis of Bone ,RxCC80 ,M87.151 ,"Osteonecrosis due to drugs, right femur "
1157,Aseptic Necrosis of Bone ,RxCC80 ,M87.152 ,"Osteonecrosis due to drugs, left femur "
1158,Aseptic Necrosis of Bone ,RxCC80 ,M87.159 ,"Osteonecrosis due to drugs, unspecified femur "
1159,Aseptic Necrosis of Bone ,RxCC80 ,M87.161 ,"Osteonecrosis due to drugs, right tibia "
1160,Aseptic Necrosis of Bone ,RxCC80 ,M87.162 ,"Osteonecrosis due to drugs, left tibia "
1161,Aseptic Necrosis of Bone ,RxCC80 ,M87.163 ,"Osteonecrosis due to drugs, unspecified tibia "
1162,Aseptic Necrosis of Bone ,RxCC80 ,M87.164 ,"Osteonecrosis due to drugs, right fibula "
1163,Aseptic Necrosis of Bone ,RxCC80 ,M87.165 ,"Osteonecrosis due to drugs, left fibula "
1164,Aseptic Necrosis of Bone ,RxCC80 ,M87.166 ,"Osteonecrosis due to drugs, unspecified fibula "
1165,Aseptic Necrosis of Bone ,RxCC80 ,M87.171 ,"Osteonecrosis due to drugs, right ankle "
1166,Aseptic Necrosis of Bone ,RxCC80 ,M87.172 ,"Osteonecrosis due to drugs, left ankle "
1167,Aseptic Necrosis of Bone ,RxCC80 ,M87.173 ,"Osteonecrosis due to drugs, unspecified ankle "
1168,Aseptic Necrosis of Bone ,RxCC80 ,M87.174 ,"Osteonecrosis due to drugs, right foot "
1169,Aseptic Necrosis of Bone ,RxCC80 ,M87.175 ,"Osteonecrosis due to drugs, left foot "
1170,Aseptic Necrosis of Bone ,RxCC80 ,M87.176 ,"Osteonecrosis due to drugs, unspecified foot "
1171,Aseptic Necrosis of Bone ,RxCC80 ,M87.177 ,"Osteonecrosis due to drugs, right toe(s) "
1172,Aseptic Necrosis of Bone ,RxCC80 ,M87.178 ,"Osteonecrosis due to drugs, left toe(s) "
1173,Aseptic Necrosis of Bone ,RxCC80 ,M87.179 ,"Osteonecrosis due to drugs, unspecified toe(s) "
1174,Aseptic Necrosis of Bone ,RxCC80 ,M87.180 ,"Osteonecrosis due to drugs, jaw "
1175,Aseptic Necrosis of Bone ,RxCC80 ,M87.188 ,"Osteonecrosis due to drugs, other site "
1176,Aseptic Necrosis of Bone ,RxCC80 ,M87.19 ,"Osteonecrosis due to drugs, multiple sites "
1177,Aseptic Necrosis of Bone ,RxCC80 ,M87.20 ,"Osteonecrosis due to previous trauma, unspecified bone "
1178,Aseptic Necrosis of Bone ,RxCC80 ,M87.211 ,"Osteonecrosis due to previous trauma, right shoulder "
1179,Aseptic Necrosis of Bone ,RxCC80 ,M87.212 ,"Osteonecrosis due to previous trauma, left shoulder "
1180,Aseptic Necrosis of Bone ,RxCC80 ,M87.219 ,"Osteonecrosis due to previous trauma, unspecified shoulder "
1181,Aseptic Necrosis of Bone ,RxCC80 ,M87.221 ,"Osteonecrosis due to previous trauma, right humerus "
1182,Aseptic Necrosis of Bone ,RxCC80 ,M87.222 ,"Osteonecrosis due to previous trauma, left humerus "
1183,Aseptic Necrosis of Bone ,RxCC80 ,M87.229 ,"Osteonecrosis due to previous trauma, unspecified humerus "
1184,Aseptic Necrosis of Bone ,RxCC80 ,M87.231 ,Osteonecrosis due to previous trauma of right radius 
1185,Aseptic Necrosis of Bone ,RxCC80 ,M87.232 ,Osteonecrosis due to previous trauma of left radius 
1186,Aseptic Necrosis of Bone ,RxCC80 ,M87.233 ,Osteonecrosis due to previous trauma of unspecified radius 
1187,Aseptic Necrosis of Bone ,RxCC80 ,M87.234 ,Osteonecrosis due to previous trauma of right ulna 
1188,Aseptic Necrosis of Bone ,RxCC80 ,M87.235 ,Osteonecrosis due to previous trauma of left ulna 
1189,Aseptic Necrosis of Bone ,RxCC80 ,M87.236 ,Osteonecrosis due to previous trauma of unspecified ulna 
1190,Aseptic Necrosis of Bone ,RxCC80 ,M87.237 ,Osteonecrosis due to previous trauma of right carpus 
1191,Aseptic Necrosis of Bone ,RxCC80 ,M87.238 ,Osteonecrosis due to previous trauma of left carpus 
1192,Aseptic Necrosis of Bone ,RxCC80 ,M87.239 ,Osteonecrosis due to previous trauma of unspecified carpus 
1193,Aseptic Necrosis of Bone ,RxCC80 ,M87.241 ,"Osteonecrosis due to previous trauma, right hand "
1194,Aseptic Necrosis of Bone ,RxCC80 ,M87.242 ,"Osteonecrosis due to previous trauma, left hand "
1195,Aseptic Necrosis of Bone ,RxCC80 ,M87.243 ,"Osteonecrosis due to previous trauma, unspecified hand "
1196,Aseptic Necrosis of Bone ,RxCC80 ,M87.244 ,"Osteonecrosis due to previous trauma, right finger(s) "
1197,Aseptic Necrosis of Bone ,RxCC80 ,M87.245 ,"Osteonecrosis due to previous trauma, left finger(s) "
1198,Aseptic Necrosis of Bone ,RxCC80 ,M87.246 ,"Osteonecrosis due to previous trauma, unspecified finger(s) "
1199,Aseptic Necrosis of Bone ,RxCC80 ,M87.250 ,"Osteonecrosis due to previous trauma, pelvis "
1200,Aseptic Necrosis of Bone ,RxCC80 ,M87.251 ,"Osteonecrosis due to previous trauma, right femur "
1201,Aseptic Necrosis of Bone ,RxCC80 ,M87.252 ,"Osteonecrosis due to previous trauma, left femur "
1202,Aseptic Necrosis of Bone ,RxCC80 ,M87.256 ,"Osteonecrosis due to previous trauma, unspecified femur "
1203,Aseptic Necrosis of Bone ,RxCC80 ,M87.261 ,"Osteonecrosis due to previous trauma, right tibia "
1204,Aseptic Necrosis of Bone ,RxCC80 ,M87.262 ,"Osteonecrosis due to previous trauma, left tibia "
1205,Aseptic Necrosis of Bone ,RxCC80 ,M87.263 ,"Osteonecrosis due to previous trauma, unspecified tibia "
1206,Aseptic Necrosis of Bone ,RxCC80 ,M87.264 ,"Osteonecrosis due to previous trauma, right fibula "
1207,Aseptic Necrosis of Bone ,RxCC80 ,M87.265 ,"Osteonecrosis due to previous trauma, left fibula "
1208,Aseptic Necrosis of Bone ,RxCC80 ,M87.266 ,"Osteonecrosis due to previous trauma, unspecified fibula "
1209,Aseptic Necrosis of Bone ,RxCC80 ,M87.271 ,"Osteonecrosis due to previous trauma, right ankle "
1210,Aseptic Necrosis of Bone ,RxCC80 ,M87.272 ,"Osteonecrosis due to previous trauma, left ankle "
1211,Aseptic Necrosis of Bone ,RxCC80 ,M87.273 ,"Osteonecrosis due to previous trauma, unspecified ankle "
1212,Aseptic Necrosis of Bone ,RxCC80 ,M87.274 ,"Osteonecrosis due to previous trauma, right foot "
1213,Aseptic Necrosis of Bone ,RxCC80 ,M87.275 ,"Osteonecrosis due to previous trauma, left foot "
1214,Aseptic Necrosis of Bone ,RxCC80 ,M87.276 ,"Osteonecrosis due to previous trauma, unspecified foot "
1215,Aseptic Necrosis of Bone ,RxCC80 ,M87.277 ,"Osteonecrosis due to previous trauma, right toe(s) "
1216,Aseptic Necrosis of Bone ,RxCC80 ,M87.278 ,"Osteonecrosis due to previous trauma, left toe(s) "
1217,Aseptic Necrosis of Bone ,RxCC80 ,M87.279 ,"Osteonecrosis due to previous trauma, unspecified toe(s) "
1218,Aseptic Necrosis of Bone ,RxCC80 ,M87.28 ,"Osteonecrosis due to previous trauma, other site "
1219,Aseptic Necrosis of Bone ,RxCC80 ,M87.29 ,"Osteonecrosis due to previous trauma, multiple sites "
1220,Aseptic Necrosis of Bone ,RxCC80 ,M87.30 ,"Other secondary osteonecrosis, unspecified bone "
1221,Aseptic Necrosis of Bone ,RxCC80 ,M87.311 ,"Other secondary osteonecrosis, right shoulder "
1222,Aseptic Necrosis of Bone ,RxCC80 ,M87.312 ,"Other secondary osteonecrosis, left shoulder "
1223,Aseptic Necrosis of Bone ,RxCC80 ,M87.319 ,"Other secondary osteonecrosis, unspecified shoulder "
1224,Aseptic Necrosis of Bone ,RxCC80 ,M87.321 ,"Other secondary osteonecrosis, right humerus "
1225,Aseptic Necrosis of Bone ,RxCC80 ,M87.322 ,"Other secondary osteonecrosis, left humerus "
1226,Aseptic Necrosis of Bone ,RxCC80 ,M87.329 ,"Other secondary osteonecrosis, unspecified humerus "
1227,Aseptic Necrosis of Bone ,RxCC80 ,M87.331 ,Other secondary osteonecrosis of right radius 
1228,Aseptic Necrosis of Bone ,RxCC80 ,M87.332 ,Other secondary osteonecrosis of left radius 
1229,Aseptic Necrosis of Bone ,RxCC80 ,M87.333 ,Other secondary osteonecrosis of unspecified radius 
1230,Aseptic Necrosis of Bone ,RxCC80 ,M87.334 ,Other secondary osteonecrosis of right ulna 
1231,Aseptic Necrosis of Bone ,RxCC80 ,M87.335 ,Other secondary osteonecrosis of left ulna 
1232,Aseptic Necrosis of Bone ,RxCC80 ,M87.336 ,Other secondary osteonecrosis of unspecified ulna 
1233,Aseptic Necrosis of Bone ,RxCC80 ,M87.337 ,Other secondary osteonecrosis of right carpus 
1234,Aseptic Necrosis of Bone ,RxCC80 ,M87.338 ,Other secondary osteonecrosis of left carpus 
1235,Aseptic Necrosis of Bone ,RxCC80 ,M87.339 ,Other secondary osteonecrosis of unspecified carpus 
1236,Aseptic Necrosis of Bone ,RxCC80 ,M87.341 ,"Other secondary osteonecrosis, right hand "
1237,Aseptic Necrosis of Bone ,RxCC80 ,M87.342 ,"Other secondary osteonecrosis, left hand "
1238,Aseptic Necrosis of Bone ,RxCC80 ,M87.343 ,"Other secondary osteonecrosis, unspecified hand "
1239,Aseptic Necrosis of Bone ,RxCC80 ,M87.344 ,"Other secondary osteonecrosis, right finger(s) "
1240,Aseptic Necrosis of Bone ,RxCC80 ,M87.345 ,"Other secondary osteonecrosis, left finger(s) "
1241,Aseptic Necrosis of Bone ,RxCC80 ,M87.346 ,"Other secondary osteonecrosis, unspecified finger(s) "
1242,Aseptic Necrosis of Bone ,RxCC80 ,M87.350 ,"Other secondary osteonecrosis, pelvis "
1243,Aseptic Necrosis of Bone ,RxCC80 ,M87.351 ,"Other secondary osteonecrosis, right femur "
1244,Aseptic Necrosis of Bone ,RxCC80 ,M87.352 ,"Other secondary osteonecrosis, left femur "
1245,Aseptic Necrosis of Bone ,RxCC80 ,M87.353 ,"Other secondary osteonecrosis, unspecified femur "
1246,Aseptic Necrosis of Bone ,RxCC80 ,M87.361 ,"Other secondary osteonecrosis, right tibia "
1247,Aseptic Necrosis of Bone ,RxCC80 ,M87.362 ,"Other secondary osteonecrosis, left tibia "
1248,Aseptic Necrosis of Bone ,RxCC80 ,M87.363 ,"Other secondary osteonecrosis, unspecified tibia "
1249,Aseptic Necrosis of Bone ,RxCC80 ,M87.364 ,"Other secondary osteonecrosis, right fibula "
1250,Aseptic Necrosis of Bone ,RxCC80 ,M87.365 ,"Other secondary osteonecrosis, left fibula "
1251,Aseptic Necrosis of Bone ,RxCC80 ,M87.366 ,"Other secondary osteonecrosis, unspecified fibula "
1252,Aseptic Necrosis of Bone ,RxCC80 ,M87.371 ,"Other secondary osteonecrosis, right ankle "
1253,Aseptic Necrosis of Bone ,RxCC80 ,M87.372 ,"Other secondary osteonecrosis, left ankle "
1254,Aseptic Necrosis of Bone ,RxCC80 ,M87.373 ,"Other secondary osteonecrosis, unspecified ankle "
1255,Aseptic Necrosis of Bone ,RxCC80 ,M87.374 ,"Other secondary osteonecrosis, right foot "
1256,Aseptic Necrosis of Bone ,RxCC80 ,M87.375 ,"Other secondary osteonecrosis, left foot "
1257,Aseptic Necrosis of Bone ,RxCC80 ,M87.376 ,"Other secondary osteonecrosis, unspecified foot "
1258,Aseptic Necrosis of Bone ,RxCC80 ,M87.377 ,"Other secondary osteonecrosis, right toe(s) "
1259,Aseptic Necrosis of Bone ,RxCC80 ,M87.378 ,"Other secondary osteonecrosis, left toe(s) "
1260,Aseptic Necrosis of Bone ,RxCC80 ,M87.379 ,"Other secondary osteonecrosis, unspecified toe(s) "
1261,Aseptic Necrosis of Bone ,RxCC80 ,M87.38 ,"Other secondary osteonecrosis, other site "
1262,Aseptic Necrosis of Bone ,RxCC80 ,M87.39 ,"Other secondary osteonecrosis, multiple sites "
1263,Aseptic Necrosis of Bone ,RxCC80 ,M87.80 ,"Other osteonecrosis, unspecified bone "
1264,Aseptic Necrosis of Bone ,RxCC80 ,M87.811 ,"Other osteonecrosis, right shoulder "
1265,Aseptic Necrosis of Bone ,RxCC80 ,M87.812 ,"Other osteonecrosis, left shoulder "
1266,Aseptic Necrosis of Bone ,RxCC80 ,M87.819 ,"Other osteonecrosis, unspecified shoulder "
1267,Aseptic Necrosis of Bone ,RxCC80 ,M87.821 ,"Other osteonecrosis, right humerus "
1268,Aseptic Necrosis of Bone ,RxCC80 ,M87.822 ,"Other osteonecrosis, left humerus "
1269,Aseptic Necrosis of Bone ,RxCC80 ,M87.829 ,"Other osteonecrosis, unspecified humerus "
1270,Aseptic Necrosis of Bone ,RxCC80 ,M87.831 ,Other osteonecrosis of right radius 
1271,Aseptic Necrosis of Bone ,RxCC80 ,M87.832 ,Other osteonecrosis of left radius 
1272,Aseptic Necrosis of Bone ,RxCC80 ,M87.833 ,Other osteonecrosis of unspecified radius 
1273,Aseptic Necrosis of Bone ,RxCC80 ,M87.834 ,Other osteonecrosis of right ulna 
1274,Aseptic Necrosis of Bone ,RxCC80 ,M87.835 ,Other osteonecrosis of left ulna 
1275,Aseptic Necrosis of Bone ,RxCC80 ,M87.836 ,Other osteonecrosis of unspecified ulna 
1276,Aseptic Necrosis of Bone ,RxCC80 ,M87.837 ,Other osteonecrosis of right carpus 
1277,Aseptic Necrosis of Bone ,RxCC80 ,M87.838 ,Other osteonecrosis of left carpus 
1278,Aseptic Necrosis of Bone ,RxCC80 ,M87.839 ,Other osteonecrosis of unspecified carpus 
1279,Aseptic Necrosis of Bone ,RxCC80 ,M87.841 ,"Other osteonecrosis, right hand "
1280,Aseptic Necrosis of Bone ,RxCC80 ,M87.842 ,"Other osteonecrosis, left hand "
1281,Aseptic Necrosis of Bone ,RxCC80 ,M87.843 ,"Other osteonecrosis, unspecified hand "
1282,Aseptic Necrosis of Bone ,RxCC80 ,M87.844 ,"Other osteonecrosis, right finger(s) "
1283,Aseptic Necrosis of Bone ,RxCC80 ,M87.845 ,"Other osteonecrosis, left finger(s) "
1284,Aseptic Necrosis of Bone ,RxCC80 ,M87.849 ,"Other osteonecrosis, unspecified finger(s) "
1285,Aseptic Necrosis of Bone ,RxCC80 ,M87.850 ,"Other osteonecrosis, pelvis "
1286,Aseptic Necrosis of Bone ,RxCC80 ,M87.851 ,"Other osteonecrosis, right femur "
1287,Aseptic Necrosis of Bone ,RxCC80 ,M87.852 ,"Other osteonecrosis, left femur "
1288,Aseptic Necrosis of Bone ,RxCC80 ,M87.859 ,"Other osteonecrosis, unspecified femur "
1289,Aseptic Necrosis of Bone ,RxCC80 ,M87.861 ,"Other osteonecrosis, right tibia "
1290,Aseptic Necrosis of Bone ,RxCC80 ,M87.862 ,"Other osteonecrosis, left tibia "
1291,Aseptic Necrosis of Bone ,RxCC80 ,M87.863 ,"Other osteonecrosis, unspecified tibia "
1292,Aseptic Necrosis of Bone ,RxCC80 ,M87.864 ,"Other osteonecrosis, right fibula "
1293,Aseptic Necrosis of Bone ,RxCC80 ,M87.865 ,"Other osteonecrosis, left fibula "
1294,Aseptic Necrosis of Bone ,RxCC80 ,M87.869 ,"Other osteonecrosis, unspecified fibula "
1295,Aseptic Necrosis of Bone ,RxCC80 ,M87.871 ,"Other osteonecrosis, right ankle "
1296,Aseptic Necrosis of Bone ,RxCC80 ,M87.872 ,"Other osteonecrosis, left ankle "
1297,Aseptic Necrosis of Bone ,RxCC80 ,M87.873 ,"Other osteonecrosis, unspecified ankle "
1298,Aseptic Necrosis of Bone ,RxCC80 ,M87.874 ,"Other osteonecrosis, right foot "
1299,Aseptic Necrosis of Bone ,RxCC80 ,M87.875 ,"Other osteonecrosis, left foot "
1300,Aseptic Necrosis of Bone ,RxCC80 ,M87.876 ,"Other osteonecrosis, unspecified foot "
1301,Aseptic Necrosis of Bone ,RxCC80 ,M87.877 ,"Other osteonecrosis, right toe(s) "
1302,Aseptic Necrosis of Bone ,RxCC80 ,M87.878 ,"Other osteonecrosis, left toe(s) "
1303,Aseptic Necrosis of Bone ,RxCC80 ,M87.879 ,"Other osteonecrosis, unspecified toe(s) "
1304,Aseptic Necrosis of Bone ,RxCC80 ,M87.88 ,"Other osteonecrosis, other site "
1305,Aseptic Necrosis of Bone ,RxCC80 ,M87.89 ,"Other osteonecrosis, multiple sites "
1306,Aseptic Necrosis of Bone ,RxCC80 ,M87.9 ,"Osteonecrosis, unspecified "
1307,Aseptic Necrosis of Bone ,RxCC80 ,M90.50 ,"Osteonecrosis in diseases classified elsewhere, unspecified site "
1308,Aseptic Necrosis of Bone ,RxCC80 ,M90.511 ,"Osteonecrosis in diseases classified elsewhere, right shoulder "
1309,Aseptic Necrosis of Bone ,RxCC80 ,M90.512 ,"Osteonecrosis in diseases classified elsewhere, left shoulder "
1310,Aseptic Necrosis of Bone ,RxCC80 ,M90.519 ,"Osteonecrosis in diseases classified elsewhere, unspecified shoulder "
1311,Aseptic Necrosis of Bone ,RxCC80 ,M90.521 ,"Osteonecrosis in diseases classified elsewhere, right upper arm "
1312,Aseptic Necrosis of Bone ,RxCC80 ,M90.522 ,"Osteonecrosis in diseases classified elsewhere, left upper arm "
1313,Aseptic Necrosis of Bone ,RxCC80 ,M90.529 ,"Osteonecrosis in diseases classified elsewhere, unspecified upper arm "
1314,Aseptic Necrosis of Bone ,RxCC80 ,M90.531 ,"Osteonecrosis in diseases classified elsewhere, right forearm "
1315,Aseptic Necrosis of Bone ,RxCC80 ,M90.532 ,"Osteonecrosis in diseases classified elsewhere, left forearm "
1316,Aseptic Necrosis of Bone ,RxCC80 ,M90.539 ,"Osteonecrosis in diseases classified elsewhere, unspecified forearm "
1317,Aseptic Necrosis of Bone ,RxCC80 ,M90.541 ,"Osteonecrosis in diseases classified elsewhere, right hand "
1318,Aseptic Necrosis of Bone ,RxCC80 ,M90.542 ,"Osteonecrosis in diseases classified elsewhere, left hand "
1319,Aseptic Necrosis of Bone ,RxCC80 ,M90.549 ,"Osteonecrosis in diseases classified elsewhere, unspecified hand "
1320,Aseptic Necrosis of Bone ,RxCC80 ,M90.551 ,"Osteonecrosis in diseases classified elsewhere, right thigh "
1321,Aseptic Necrosis of Bone ,RxCC80 ,M90.552 ,"Osteonecrosis in diseases classified elsewhere, left thigh "
1322,Aseptic Necrosis of Bone ,RxCC80 ,M90.559 ,"Osteonecrosis in diseases classified elsewhere, unspecified thigh "
1323,Aseptic Necrosis of Bone ,RxCC80 ,M90.561 ,"Osteonecrosis in diseases classified elsewhere, right lower leg "
1324,Aseptic Necrosis of Bone ,RxCC80 ,M90.562 ,"Osteonecrosis in diseases classified elsewhere, left lower leg "
1325,Aseptic Necrosis of Bone ,RxCC80 ,M90.569 ,"Osteonecrosis in diseases classified elsewhere, unspecified lower leg "
1326,Aseptic Necrosis of Bone ,RxCC80 ,M90.571 ,"Osteonecrosis in diseases classified elsewhere, right ankle and foot "
1327,Aseptic Necrosis of Bone ,RxCC80 ,M90.572 ,"Osteonecrosis in diseases classified elsewhere, left ankle and foot "
1328,Aseptic Necrosis of Bone ,RxCC80 ,M90.579 ,"Osteonecrosis in diseases classified elsewhere, unspecified ankle and foot "
1329,Aseptic Necrosis of Bone ,RxCC80 ,M90.58 ,"Osteonecrosis in diseases classified elsewhere, other site "
1330,Aseptic Necrosis of Bone ,RxCC80 ,M90.59 ,"Osteonecrosis in diseases classified elsewhere, multiple sites "
1331,Cardio-Respiratory Failure and Shock ,CC84 ,I46.2 ,Cardiac arrest due to underlying cardiac condition 
1332,Cardio-Respiratory Failure and Shock ,CC84 ,I46.8 ,Cardiac arrest due to other underlying condition 
1333,Cardio-Respiratory Failure and Shock ,CC84 ,I46.9 ,"Cardiac arrest, cause unspecified "
1334,Cardio-Respiratory Failure and Shock ,CC84 ,I49.01 ,Ventricular fibrillation 
1335,Cardio-Respiratory Failure and Shock ,CC84 ,I49.02 ,Ventricular flutter 
1336,Cardio-Respiratory Failure and Shock ,CC84 ,J80 ,Acute respiratory distress syndrome 
1337,Cardio-Respiratory Failure and Shock ,CC84 ,J81.0 ,Acute pulmonary edema 
1338,Cardio-Respiratory Failure and Shock ,CC84 ,J95.1 ,Acute pulmonary insufficiency following thoracic surgery 
1339,Cardio-Respiratory Failure and Shock ,CC84 ,J95.2 ,Acute pulmonary insufficiency following nonthoracic surgery 
1340,Cardio-Respiratory Failure and Shock ,CC84 ,J95.3 ,Chronic pulmonary insufficiency following surgery 
1341,Cardio-Respiratory Failure and Shock ,CC84 ,J95.821 ,Acute postprocedural respiratory failure 
1342,Cardio-Respiratory Failure and Shock ,CC84 ,J95.822 ,Acute and chronic postprocedural respiratory failure 
1343,Cardio-Respiratory Failure and Shock ,CC84 ,J96.00 ,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia "
1344,Cardio-Respiratory Failure and Shock ,CC84 ,J96.01 ,Acute respiratory failure with hypoxia 
1345,Cardio-Respiratory Failure and Shock ,CC84 ,J96.02 ,Acute respiratory failure with hypercapnia 
1346,Cardio-Respiratory Failure and Shock ,CC84 ,J96.10 ,"Chronic respiratory failure, unspecified whether with hypoxia or hypercapnia "
1347,Cardio-Respiratory Failure and Shock ,CC84 ,J96.11 ,Chronic respiratory failure with hypoxia 
1348,Cardio-Respiratory Failure and Shock ,CC84 ,J96.12 ,Chronic respiratory failure with hypercapnia 
1349,Cardio-Respiratory Failure and Shock ,CC84 ,J96.20 ,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia "
1350,Cardio-Respiratory Failure and Shock ,CC84 ,J96.21 ,Acute and chronic respiratory failure with hypoxia 
1351,Cardio-Respiratory Failure and Shock ,CC84 ,J96.22 ,Acute and chronic respiratory failure with hypercapnia 
1352,Cardio-Respiratory Failure and Shock ,CC84 ,J96.90 ,"Respiratory failure, unspecified, unspecified whether with hypoxia or hypercapnia "
1353,Cardio-Respiratory Failure and Shock ,CC84 ,J96.91 ,"Respiratory failure, unspecified with hypoxia "
1354,Cardio-Respiratory Failure and Shock ,CC84 ,J96.92 ,"Respiratory failure, unspecified with hypercapnia "
1355,Cardio-Respiratory Failure and Shock ,CC84 ,R57.0 ,Cardiogenic shock 
1356,Cardio-Respiratory Failure and Shock ,CC84 ,R57.9 ,"Shock, unspecified "
1357,Cardio-Respiratory Failure and Shock ,CC84 ,T81.11XA ,"Postprocedural cardiogenic shock, initial encounter "
1358,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.0 ,"Refractory anemia without ring sideroblasts, so stated "
1359,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.1 ,Refractory anemia with ring sideroblasts 
1360,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.20 ,"Refractory anemia with excess of blasts, unspecified "
1361,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.21 ,Refractory anemia with excess of blasts 1 
1362,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.22 ,Refractory anemia with excess of blasts 2 
1363,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.4 ,"Refractory anemia, unspecified "
1364,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.9 ,"Myelodysplastic syndrome, unspecified "
1365,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.A ,Refractory cytopenia with multilineage dysplasia 
1366,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.B ,Refractory cytopenia with multilineage dysplasia and ring sideroblasts 
1367,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D46.Z ,Other myelodysplastic syndromes 
1368,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D47.4 ,Osteomyelofibrosis 
1369,Myelodysplastic Syndromes and Myelofibrosis ,RxCC96 ,D75.81 ,Myelofibrosis 
1370,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M08.1 ,Juvenile ankylosing spondylitis 
1371,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M30.0 ,Polyarteritis nodosa 
1372,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M30.1 ,Polyarteritis with lung involvement [Churg-Strauss] 
1373,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M30.2 ,Juvenile polyarteritis 
1374,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M30.3 ,Mucocutaneous lymph node syndrome [Kawasaki] 
1375,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M30.8 ,Other conditions related to polyarteritis nodosa 
1376,"Systemic Lupus Erythematosus, Other Connective Tissue Disorders, and Inflammatory Spondylopathies ",RxCC84 ,M31.0 ,Hypersensitivity angiitis 
